"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c13","all",1,"all",0.52678715627732,NA,0.510585323360799,0.542988989193841,"all","all"
"c14","all",NA,"all",1.59725680268283,NA,1.57766888712037,1.61684471824528,"all","all"
"c15","all",1,"all",0.0185110743116114,NA,0.0146960814757094,0.0223260671475135,"all","all"
"c16","all",1,"all",0.706294513473537,NA,0.691998601931598,0.720590425015476,"all","all"
"c17","all",1,"all",0.496949516089835,NA,0.480840640165652,0.513058392014018,"all","all"
"c18","all",1,"all",0.147198786429362,NA,0.134260063747703,0.160137509111021,"all","all"
"c21","all",1,"all",0.0971767936946043,NA,0.0875677562311078,0.106785831158101,"all","all"
"c22","all",1,"all",0.0115007942449245,NA,0.0076835455400665,0.0153180429497825,"all","all"
"c25","all",1,"all",0.0610112472390532,NA,0.054826168921931,0.0671963255561755,"all","all"
"c26","all",1,"all",0.0377515155038349,NA,0.0338561840425073,0.0416468469651624,"all","all"
"c27","all",1,"all",0.614332643907789,NA,0.596365199706564,0.632300088109014,"all","all"
"c28","all",1,"all",0.32643613387814,NA,0.308136319281319,0.344735948474962,"all","all"
"c29","all",1,"all",0.514484768187012,NA,0.49846707198621,0.530502464387814,"all","all"
"c30","all",1,"all",0.460846028921024,NA,0.444793353884531,0.476898703957516,"all","all"
"c32","all",1,"all",0.0574551911626675,NA,0.048338102358876,0.0665722799664591,"all","all"
"c37","all",1,"all",0.199506264979606,NA,0.189664838797862,0.209347691161351,"all","all"
"c39","all",1,"all",0.794537053431608,NA,0.740236144465822,0.848837962397394,"all","all"
"c40_i","all",1,"all",1,NA,NA,NA,"all","all"
"c40_ii","all",1,"all",1,NA,NA,NA,"all","all"
"c40_iii","all",1,"all",1,NA,NA,NA,"all","all"
"c40_iv",NA,NA,NA,NA,NA,NA,NA,"all","all"
